,Fecha de publicación el DOF,Vigente a partir de:,ZLFN1,Resto del país,"""A""","""B""","""C"""
0,26 de diciembre de 2018,1o. enero 2019,$176.72,$102.68,,,
1,21 de diciembre de 2017,1o. enero 2018,,,$88.36,,
2,24 de noviembre de 2017,1o. diciembre 2017,,,88.36,,
3,19 de diciembre de 2016,1o. enero 2017,,,80.04,,
4,18 de diciembre de 2015,1o. enero 2016,,,73.04,,
5,30 de septiembre de 2015,1o. octubre de 2015,,,70.10,,
6,30 de marzo de 2015,1o. abril 2015,,,70.10,68.28,
7,29 de diciembre de 2014,1o. enero 2015,,,70.10,66.45,
8,26 de diciembre de 2013,1o. enero 2014,,,67.29,63.77,
9,21 de diciembre de 2012,1o. enero 2013,,,64.76,61.38,
10,26 de noviembre de 2012,27 de noviembre 2012,,,62.33,59.08,N/A 2
11,19 de diciembre de 2011,1o. enero 2012,,,62.33,60.57,59.08
12,23 de diciembre de 2010,1o. enero 2011,,,59.82,58.13,56.70
13,23 de diciembre de 2009,1o. enero 2010,,,57.46,55.84,54.47
14,23 de diciembre de 2008,1o. enero 2009,,,54.80,53.26,51.95
15,27 de diciembre de 2007,1o. enero 2008,,,52.59,50.96,49.50
16,29 de diciembre de 2006,1o. enero 2007,,,50.57,49.00,47.60
17,26 de diciembre de 2005,1o. enero 2006,,,48.67,47.16,45.81
18,22 de diciembre de 2004,1° enero 2005,,,46.80,45.35,44.05
19,23 de diciembre de 2003,1º. enero 2004,,,45.24,43.73,42.11
20,26 de diciembre de 2002,1º. enero 2003,,,43.65,41.85,40.30
21,29 de diciembre de 2001,1º. enero 2002,,,42.15,40.10,38.30
22,27 de diciembre de 2000,1º. enero 2001,,,40.35,37.95,35.85
23,31 de diciembre de 1999,1º. enero 2000,,,37.90,35.10,32.70
24,2 de diciembre de 1998,1o. enero 1999,,,34.45,31.90,29.70
25,23 de diciembre de 1997,1o. enero 1998,,,30.20,28.00,26.00
26,2 de diciembre de 1996,1o. enero 1997,,,26.45,24.50,22.50
27,2 de diciembre de 1996,3 de diciembre 1996,,,26.45,24.50,22.50
28,28 de marzo de 1996,1o. abril 1996,,,22.60,20.95,19.05
29,2 de diciembre de 1995,1o. enero 1996,,,20.15,18.70,17.00
30,2 de diciembre 1995,4 de diciembre 1995,,,20.15,18.70,17.00
31,31 de marzo 1995,1o. abril 1995,,,18.30,17.00,15.44
32,21 de diciembre 1994,1o. enero 1995,,,16.34,15.18,13.79
33,13 de diciembre 1993,1o. enero 1994,,,15.27,14.19,12.89
34,7 de diciembre 1992,1o. enero 1993,,,N$ 14.27,N$ 13.26,N$ 12.05
35,4 de diciembre 1991,1o. enero 1992,,,13330.00,12320.00,11115.00
36,11 de noviembre 1991,11 de noviembre 1991,,,13330.00,12320.00,11115.00
37,24 de diciembre 1990,1o. enero 1991,,,11900.00,11000.00,9920.00
38,15 de noviembre 1990,16 de noviembre 1990,,,11900.00,11000.00,9920.00
39,4 de diciembre 1989,1o. enero 1990,,,10080.00,9325.00,8405.00
40,4 de diciembre 1989,4 de diciembre 1989,,,10080.00,9325.00,8405.00
41,26 de junio de 1989,1o. julio 1989,,,9160.00,8475.00,7640.00
42,14 de diciembre 1988,1o. enero 1989,,,8640.00,7995.00,7205.00
43,29 de febrero 1988,1o. marzo 1988,,,8000.00,7405.00,6670.00
